Book,Text
Słońce spuściło głowę, obłok zasunęło,
I raz ciepłym powietrzem westchnąwszy — usnęło.

    A szlachta ciągle pije i wiwaty wznosi:
Napoleona, wodzów, Tadeusza, Zosi,
Wreszcie z kolei wszystkich trzech par zaręczonych,
Wszystkich gości obecnych, wszystkich zaproszonych,
Wszystkich przyjaciół, których kto żywy spamięta,
I których zmarłych pamięć pozostała święta!

    I ja tam z gośćmi byłem, miód i wino piłem,
A com wiedział i słyszał, w księgi umieściłem.



Epilog

    O tymże dumać na paryskim bruku,
Przynosząc z miasta uszy pełne stuku,
Przeklęstw i kłamstwa, niewczesnych zamiarów,
Zapóźnych żalów, potępieńczych swarów?…

    Biada nam zbiegi, żeśmy w czas morowy
Lękliwe nieśli za granicę głowy!
Bo gdzie stąpili, szła przed nami trwoga,
W każdym sąsiedzie znajdowali wroga;
Aż nas objęto w ciasny krąg łańcucha,
I każą oddać co najprędzej ducha.

    A gdy na żale ten świat nie ma ucha,
Gdy ich co chwila nowina przeraża,
Bijąca z Polski jako dzwon smętarza,
Gdy im prędkiego zgonu życzą straże,
Wrogi ich wabią z dala jak grabarze,
Gdy w niebie nawet nadziei nie widzą…
Nie dziw, że ludzi, świat, siebie ohydzą,
Że utraciwszy rozum w mękach długich,
Plwają na siebie i źrą jedni drugich!

    Chciałem pominąć, ptak małego lotu,
Pominąć strefy ulewy i grzmotu,
I szukać tylko cienia i pogody:
Wieki dzieciństwa, domowe zagrody…

    Jedyne szczęście: kto w szarej godzinie,
Z kilką przyjaciół siadłszy przy kominie,
Drzwi od Europy zamykał hałasów,
Wyrwał się myślą do szczęśliwszych czasów,
I dumał, marzył o swojej krainie…

    Ale o krwi tej, co się świeżo lała,
O łzach, którymi płynie Polska cała,
O sławie, która jeszcze nie przebrzmiała:
O nich pomyśleć nie mieliśmy duszy!…
Bo naród bywa na takiej katuszy,
Że, kiedy zwróci wzrok ku jego męce,
Nawet Odwaga załamuje ręce.

    Te pokolenia żałobami czarne,
Powietrze tylą klątwami ciężarne,
Tam myśl nie śmiała swoich zwrócić lotów,
W sferę okropną nawet ptakom grzmotów.

    O Matko Polsko! Ty tak świeżo w grobie
Złożona… Nie masz sił mówić o tobie!

    Ach, czyjeż usta śmią pochlebiać sobie,
Że znajdą dzisiaj to czarowne słowo,
Które rozczuli rozpacz marmurową,
Które z serc wieko podejmie kamienne,
Rozwiąże oczy, tylą łez brzemienne
I sprawia, że łza przystygła wypłynie,
Nim się te usta znajdą, wiek przeminie.

    Kiedyś… gdy zemsty lwie przehuczą ryki,
Przebrzmi głos trąby, przełamią się szyki,
Gdy orły nasze lotem błyskawicy
Spadną u dawnej Chrobrego granicy,
Ciał się najedzą, krwią całe opłyną,
I skrzydła wreszcie na spoczynek zwiną;
Gdy wróg ostatni wyda krzyk boleści,
Umilknie, światu swobodę obwieści —
Wtenczas — dębowym liściem uwieńczeni,
Rzuciwszy miecze, siędą rozbrojeni
Rycerze nasi, zechcą słuchać o przeszłości!
Wtenczas zapłaczą nad ojców losami,
I wtenczas łza ta ich lica nie splami.

    Dziś dla nas, w świecie nieproszonych gości,
W całej przeszłości i w całej przyszłości,
Jedna już tylko dziś kraina taka,
W której jest trochę szczęścia dla Polaka:
Kraj lat dziecinnych! On zawsze zostanie
Święty i czysty jak pierwsze kochanie,
Niezaburzony błędów przypomnieniem,
Niepodkopany nadziei złudzeniem,
Ani zmieniony wypadków strumieniem.

    Te kraje rad bym myślami powitał,
Gdziem rzadko płakał, a nigdy nie zgrzytał:
Kraje dzieciństwa, gdzie człowiek po świecie
Biegł jak po łące, a znał tylko kwiecie
Miłe i piękne, jadowite rzucił,
Ku pożytecznym oka nie odwrócił.

    Ten kraj szczęśliwy, ubogi i ciasny,
Jak świat jest boży, tak on był nasz własny!
Jakże tam wszystko do nas należało,
Jak pomnim wszystko, co nas otaczało:
Od lipy, która koroną wspaniałą
Całej wsi dzieciom użyczała cienia,
Aż do każdego strumienia, kamienia,
Jak każdy kącik ziemi był znajomy
Aż po granicę — po sąsiadów domy.

    A jeśli czasem i Moskal się zjawił,
Tyle nam tylko pamiątki zostawił,
Że był w błyszczącym i pięknym mundurze:
Bo węża tylko znaliśmy po skórze.

    I tylko krajów tych obywatele
Jedni zostali wierni przyjaciele,
Jedni dotychczas sprzymierzeńcy pewni!
Bo któż tam mieszkał? Matka, bracia, krewni,
Sąsiedzi dobrzy!… Kogo z nich ubyło,
Jakże tam o nim czule się mówiło!
Ile pamiątek, jaka żałość długa,
Tam, gdzie do pana przywiązańszy sługa
Niż w innych krajach małżonka do męża;
Gdzie żołnierz dłużej żałuje oręża
Niż tu syn ojca; po psie płaczą szczerze
I dłużej niż tu lud po bohaterze.

    I przyjaciele wtenczas pomogli rozmowie.
I do pieśni rzucali mi słowo po słowie:
Jak bajeczne żurawie, na dzikim ostrowie,
Nad zaklętym pałacem przelatując wiosną,
I słysząc zaklętego chłopca skargę głośną,
Każdy ptak chłopcu jedno pióro rzucił:
On zrobił skrzydła i do swoich wrócił…

    O, gdybym kiedyś dożył tej pociechy,
Żeby te księgi zbłądziły pod strzechy;
Żeby wieśniaczki kręcąc kołowrotki,
Gdy odśpiewają ulubione zwrotki
O tej dziewczynie, co tak grać lubiła,
Że przy skrzypeczkach gąski pogubiła,
O tej sierocie, co piękna jak zorze,
Zaganiać ptastwo szła w wieczornej porze:
Gdyby też wzięły wieśniaczki do ręki
Te księgi proste jako ich piosenki!…

    Tak za dni moich przy wiejskiej zabawie,
Czytano nieraz pod lipą na trawie
Pieśń o Justynie, powieść o Wiesławie;
A przy stoliku drewnianym pan włodarz
Albo ekonom, lub nawet gospodarz,
Nie bronił czytać i sam słuchać raczył,
I młodszym rzeczy trudniejsze tłumaczył,
Chwalił piękności, a błędom wybaczył.

    I zazdrościła młodzież wieszczów sławie,
Która tam dotąd brzmi w lasach i w polu,
I którym droższy niż laur Kapitolu,
Wianek rękami wieśniaczki usnuty
Z modrych bławatków i zielonej ruty…




"
Adam Mickiewicz  Liryki lozańskie Nad wodą wielką i czystą…,"Adam Mickiewicz

Liryki lozańskie
Nad wodą wielką i czystą…



    Nad wodą wielką i czystą
Stały rzędami opoki;
I woda tonią przejrzystą
Odbiła twarze ich czarne.

    Nad wodą wielką i czystą
Przebiegły czarne obłoki;
I woda tonią przejrzystą
Odbiła kształty ich marne.

    Nad wodą wielką i czystą
Błysnęło wzdłuż i grom ryknął;
I woda tonią przejrzystą
Odbiła światło, głos zniknął,
A woda, jak dawniej czysta,
Stoi wielka i przejrzysta.

    Tę wodę widzę dokoła
I wszystko wiernie odbijam,
I dumne opoki czoła,
I błyskawice pomijam.

    Skałom trzeba stać i grozić,
Obłokom deszcze przewozić,
Błyskawicom grzmieć i ginąć, —
Mnie płynąć, płynąć i płynąć!…

Lausanne, 1838.




"
Adomas Mickevičius  Krymo sonetai Alušta dieną tłum. Motiejus Gustaitis,"Adomas Mickevičius

Krymo sonetai
Alušta dieną
tłum. Motiejus Gustaitis



Jau kalnas ūkanotą numetė chalatą,
Ryto šnabžda namazas po aukso dirvonus,
Linksi giria ir barsto vainikus raudonus,
Lyg Kalifų rožančiaus rubiną-granatą.

Žydi pieva varsingoms gėlėmis ripuota,
Drugiai septyniaspalvę laumės juostą pina,
Briliantų sparnyčiais padangę dabina;
Toliau žiogeliai traukia sau šydą sparnuotą.

O kur uola nuplikus kyšo vandenyse,
Verda blaškoma marė ir skandina žemę;
Jos ūžmuos šviesa groja, kaip rainio akyse,

Ir rūsčiąją pakrantėms audrų kovą lemia,
O ant gilumos vilnys palengva liūliuoja,
Ir maudosi žaginė, ir gulbės baltuoja.




"
Adam Mickiewicz  Chłop i żmija,"Adam Mickiewicz

Chłop i żmija



Z Lafontaine'a

W pamiętnikach bestyjo-graficznych Ezopa
Jest wzmianka o uczynku miłosiernym chłopa
I o pewnego węża postępku łajdackim.

Chłop wyszedł zimnym rankiem po chrośniak do sadu,
Aż tu pod bramą wąż mu do nóg pada plackiem:
Przeziębły, wpół skostniały, przysypany szronem,
Już zdychał, już ostatni raz kiwnął ogonem.
Chłop zlitował się nad tą mizeryją gadu:
Wziął go za ogon, niesie nazad w chatę,
Kładzie go na przypiecku,
Podściela mu kożuszek jak własnemu dziecku
(Nie wiedząc, jaką weźmie od gościa zapłatę);
Póty dmucha, póty chucha,
Aż w nieboszczyku dobudził się ducha.
Nieboszczyk wąż jak ożył, tak się wnet nasrożył:
Rozkręcił się, do góry wyprężył się, syknął
I całym sobą w chłopa się wycela,
W swojego dobrodzieja, w swojego zbawiciela
I wskrzesiciela!
«A to co się ma znaczyć — zdziwiony chłop krzyknął —
To ty w nagrodę dobrego czynu
Jeszcze chcesz mnie ukąsić? A ty żmii synu!»
I wnet porwawszy dubasa,
Tnie węża raz pod ucho, drugi raz w pół pasa.
Odleciał ogon w jeden, a pysk w drugi kątek;
Rozpadło się żmijisko na troje żmijątek.
Darmo drgają
I biegają,
Ogon za szyją, za ogonem szyja;
Już nie zmartwychwstanie żmija.

Przytrafia się to często, że dobry człek jaki
Niewdzięcznika przygarnie;
Ale trafia się częściej, że niewdzięcznik taki
Przepada marnie.




"
Motiejus Gustaitis  Krymo sonetai Simeiso divas,"Motiejus Gustaitis

Krymo sonetai
Simeiso divas



Tenai, kur Krymo Simeis akyvas,
Iškėlęs galvą, žiūri į Euksiną;
Tenai, kur marios, lyg sidabras gyvas,
Tolydžio kruta, vilnimis masina;

Tenai didžiulė tvyla uola — Divas.
Jį bangos graužia, vėsulai skandina,
Tačiau bestovi tvirtas- amžinyvas,
Lyg Kaf-kalnynas, kurį Dievai gina.

Sonetai, jūs tai esat tas paminklas!
Tiktai tvirtesnis neg anas uolinis,
Ir amžinesnis neg pati Juodmarė.

Grožybė jūsų — tai tikriausias ginklas,
Kurio joks kardas nepasieks laikinis,
Nes mūzos dailę jumyse uždarė.

M. G.




"
Adam Mickiewicz  To lubię,"Adam Mickiewicz

To lubię



    Spojrzyj, Marylo, gdzie się kończą gaje:
W prawo łóz gęsty zarostek,
W lewo się piękna dolina podaje,
Przodem rzeczułka i mostek.

    Tuż stara cerkiew; w niej puszczyk i sowy,
Obok dzwonnicy zrąb zgniły,
A za dzwonnicą chróśniak malinowy,
A w tym chróśniaku mogiły.

    Czy tam bies siedział, czy dusza zaklęta,
Że o północnej godzinie,
Nikt, jak najstarszy człowiek zapamięta,
Miejsc tych bez trwogi nie minie.

    Bo skoro północ nawlecze zasłony,
Cerkiew się z trzaskiem odmyka,
W pustej zrąbnicy dzwonią same dzwony,
W chróstach coś huczy i ksyka.

    Czasami płomyk okaże się blady,
Czasem grom trzaska po gromie,
Same się z mogił ruszają pokłady,
I larwy stają widomie.

    Raz trup po drodze bez głowy się toczy,
To znowu głowa bez ciała,
Roztwiera gębę i wytrzeszcza oczy,
W gębie i w oczach żar pała.

    Albo wilk bieży: pragniesz go odegnać,
Aż orlem skrzydłem wilk macha…
Dość «zgiń, przepadnij!» wyrzec i przeżegnać,
Wilk zniknie wrzeszcząc: cha, cha, cha!

    Każdy podróżny oglądał te zgrozy,
I każdy musiał kląć drogę;
Ten złamał dyszel, ten wywrócił wozy,
Innemu zwichnął koń nogę.

    Ja, chociaż pomnę, nieraz Andrzej stary
Zaklinał, nieraz przestrzegał:
Śmiałem się z djabłów, nie wierzyłem w czary,
Tamtędym jeździł i biegał.

    Raz, gdy do Ruty jadę w czas noclegu,
Na moście z końmi wóz staje;
Próżno woźnica przynagla do biegu,
Hej! krzyczy, biczem zadaje.

    Stoją, a potem skoczą z całej mocy,
Dyszel przy samej pękł szrubie;
Zostać na polu, samemu i w nocy,
To lubię, rzekłem, to lubię!

    Ledwiem dokończył, aż straszna martwica
Wypływa z blizkich wód toni;
Białe jej szaty, jak śnieg białe lica,
Ognisty wieniec na skroni.

    Chciałem uciekać, padłem zalękniony,
Włos dębem stanął na głowie;
Krzyknę: niech będzie Chrystus pochwalony:
«Na wieki wieków» odpowie.

    «Ktokolwiek jesteś poczciwy człowieku,
Coś mię zachował od męki,
Dożyj ty szczęścia i późnego wieku,
I pokój tobie i dzięki.»

    «Widzisz przed sobą obraz grzesznej duszy, —
Wkrótce się niebem pochlubię;
Boś ty czyścowej zbawił mię katuszy
Tem jednem słówkiem: *To lubię*.

    «Dopóki gwiazdy zejdą i dopóki
We wsi kur pierwszy zapieje,
Opowiem tobie, a ty dla nauki
Opowiedz innym me dzieje.

    «Onego czasu żyłam ja na świecie,
Marylą zwana przed laty;
Ojciec mój, pierwszy urzędnik w powiecie,
Możny, poczciwy, bogaty.

    «Za życia pragnął sprawić mi wesele;
A żem dostatnia i młoda,
Zbiegło się zewsząd zalotników wiele,
Posag wabił i uroda.

    «Mnóztwo ich marnej pochlebiało dumie,
I to mi było do smaku,
Że kiedy w licznym kłaniano się tłumie,
Tłumem gardziłam bez braku.

    «Przybył i Józio; dwudziestą miał wiosnę,
Młody, cnotliwy, nieśmiały:
Obce dla niego wyrazy miłosne,
Choć czuł miłosne zapały.

    «Lecz próżno nędzny w oczach prawie znika,
Próżno i dzień i noc płacze;
W boleściach jego dla mnie radość dzika,
Śmiech obudzały rozpacze.

    «Ja pójdę!» mówił ze łzami — «Idź sobie!»
Poszedł i umarł z miłości…
Tu nad rzeczułką, w tym zielonym grobie,
Złożone jego są kości.

    «Odtąd mi życie stało się nielube,
Późne uczułam wyrzuty;
Lecz ani sposób wynagrodzić zgubę,
Ani czas został pokuty.

    «Raz, gdy się w północ z rodzicami bawię,
Wzmaga się hałas, szum, świsty:
Przyleciał Józio, w straszliwej postawie,
Jak potępieniec ognisty.

    «Porwał, udusił gęszczą dymnych kłębów,
W czyścowe rzucił potoki,
Gdzie pośród jęku i zgrzytania zębów,
Takie słyszałam wyroki:

    «Wiedziałaś, że się spodobało Panu
Z męża ród tworzyć niewieści,
Na osłodzenie mężom złego stanu,
Na rozkosz, nie na boleści.

    «Ty, jakbyś w piersiach miała serce z głazu,
Ani cię jęki ubodły,
Nikt nie uprosił słodkiego wyrazu,
Przez łzy, cierpienia i modły.

    «Za taką srogość, długie, długie lata,
Dręcz się w czyścowej zagubie;
Póki mąż jaki z tamecznego świata,
Nie powie na cię choć: *lubię*

    «Prosił i Józio niegdyś o to słowo
Gorzkie łzy lał nieszczęśliwy:
Prośże ty teraz nie łzą, nie namową,
Ale przez strachy i dziwy.»

    «Rzekł. Mnie natychmiast porwały złe duchy:
Odtąd już setny rok minie,
W dzień męczą, na noc zdejmują łańcuchy,
Rzucam ogniste głębinie.

    «I w cerkwi, albo na Józia mogile
Niebu i ziemi obrzydła,
Muszę podróżnych trwożyć w nocne chwile.
Różne udając straszydła.

    «Idących w błota zawiodę lub w gaje,
Jadącym konia uskubię;
A każdy naklnie, nafuka, nałaje —
Tyś pierwszy wyrzekł: to lubię.

    «Za to ci spadnie wyroków zasłona,
Przyszłość z pod ciemnych wskażę chmur.
Ach! i ty poznasz Marylę, lecz ona…»
Wtem na nieszczęście zapiał kur.

    Skinęła tylko, widać radość z oczek,
Mieni się w parę cieniuchną,
Ginie, jak ginie bladawy obłoczek,
Kiedy zefiry nań dmuchną…

    Patrzę — aż cały wóz stoi na łące.
Siadam, powoli strach mija;
Proszę za dusze w czyścu bolejące,
Zmówić trzy Zdrowaś Marya.




"
Adam Mickiewicz  Sonety odeskie Sonet XII (Poezjo! Gdzie cudny pędzel twojej ręki?…),"Adam Mickiewicz

Sonety odeskie
Sonet XII (Poezjo! Gdzie cudny pędzel twojej ręki?…)



Poezjo! Gdzie cudny pędzel twojej ręki?…
Gdy chcę malować — za cóż myśli i natchnienia
Wyglądają z wyrazów jak zza krat więzienia,
Kryjących i szpecących tak ubogie wdzięki?

Poezjo! Gdzie twoje melodyjne dźwięki?
Śpiewam — ona mojego nie usłyszy pienia:
Jako słowik, król śpiewu, nie słyszy strumienia,
Który w podziemnej głębi rozwodzi swe jęki.

Nie tylko dźwięk i kolor — aniołowie myśli —
Lecz i pióro, roboczy niewolnik poety,
Na cudzej ziemi nie zna praw dawnego pana,

I zamiast pieśni, znaki niepojęte kréśli:
Muzyczne znaki pieśni… Lecz ta pieśń, niestety,
Nigdy jej miłym głosem nie będzie śpiewana!…




"
Adam Mickiewicz  Do mojego Cicerone,"Adam Mickiewicz

Do mojego Cicerone



Mój cicerone! oto na pomniku
Jakieś niekształtne, nieznajome imię
Wędrownik skreślił na znak, że był w Rzymie
Ja chcę coś wiedzieć o tym wędrowniku

Może go wkrótce przyjmie do gospody
Kłótliwa fala, może piasek niemy
Zatai jego życie i przygody,
I nigdy o nim nic się nic dowiemy.

Ja chcę odgadnąć, co on czuł i myślił,
Gdy w księdze twojej, śród włoskiej krainy,
Za cały napis to imię wykryślił,
Na drodze życia ten swój ślad jedyny.

Czy drżącą ręką, po długim dumaniu,
Rył go powoli, jak nagrobek w skale?
Czy go odchodząc uronił niedbale,
Jako samotną łzę przy pożegnaniu?

Mój cziczerone! dziecinne masz lice,
Lecz mądrość stara nad twym świeci czołem;
Przez rzymskie bramy, groby i świątnice
Tyś przewodniczym był dla mnie aniołem;

Ty umiesz przejrzeć nawet w serce głazu;
Gdy błękitnymi raz rzucisz oczyma,
Odgadniesz przeszłość z jednego wyrazu —
Ach, ty wiesz może i przyszłość pielgrzyma?




"
Adam Mickiewicz  Sonety odeskie Sonet XVII. Dobry wieczór,"Adam Mickiewicz

Sonety odeskie
Sonet XVII. Dobry wieczór



Dobry wieczór! on dla mnie najsłodszym życzeniem;
Nigdy, czy to przed nocą dzieli nas zapora,
Czyli mię ranna znowu przywołuje pora,
Nie żegnam się, ni witam z takim zachwyceniem,

Jak w tę chwilę, wieczornym ośmielony cieniem;
Ty nawet, milczeć rada i płonić się skora,
Gdy usłyszysz życzenie dobrego wieczora,
Żywszym okiem, głośniejszym rozmawiasz westchnieniem.

Niechaj dzień dobry wschodzi tym, co społem żyją,
Objaśniać pracę, która ich ręce jednoczy;
Dobranoc niech szczęśliwych kochanków otoczy,

Gdy z rozkoszy kielicha trosk osłodę piją;
A tym, co się kochają i swą miłość kryją,
Dobry wieczór niech przyćmi zbyt wymowne oczy.




"
Adam Mickiewicz  Żywila Powiastka z dziejów litewskich,"Adam Mickiewicz

Żywila
Powiastka z dziejów litewskich

ISBN 978-83-288-2497-3




Przedmowa

Przyjaciel lat dziecinnych ojca mojego, przypomniawszy sobie w tych czasach, iż jeden z najpierwszych jego utworów był drukowany w ówczesnych pismach periodycznych wileńskich, odszukał go i przysłał mi kopię, którą podzielić się z publicznością poczytuję sobie za obowiązek.

Jest to zaledwo szkic tylko, ale miłośnicy poezji jak miłośnicy sztuk pięknych zawsze wyłącznym uczuciem otaczali szkice ręką mistrzów kreślone. Powiastkę dzisiejszą uważać można za pierwszy rys wielkiego poematu. Żywila ukazała się bezimiennie, w numerze 123 „Tygodnika Wileńskiego”, dnia 28 lutego 1819 r. (Ojciec mój wówczas zaledwo 20 rok życia kończył) pisana językiem starodawnym, do tytułu dodana była wskazówka, że podanie wyjęto ze starożytnych rękopismów polskich, udzielonych redakcji przez P.S.F.Z. Taż sama myśl natchnęła później Grażynę i Wallenroda, a widać w niej nawet tenże sam sposób obrobienia przedmiotu.

Pod gniotem cenzury podejrzliwej, poeci nasi często byli zmuszeni uciekać się do roli bajko-pisarza, który nie mogąc wprowadzić na scenę ludzi, daru mowy zwierzętom udziela, i tak za pomocą przypowieści wykłada prawdy lub rozwija uczucia, wygnane z dziedziny życia politycznego. Z wyłącznym talentem i dowcipem używał tego sposobu Julian Niemcewicz. Ojciec mój, kreśląc obowiązki względem ojczyzny, nieraz bohaterów poematów swoich szukał w odległych dość epokach, aby ich słowa, zupełnie dla rodaków przezroczyste, w oczach nieprzyjaciela zdawały się być tylko prostą historią. Takie utwory utrzymywały miłość Ojczyzny i nienawiść obcego jarzma.

Władysław Mickiewicz

Paryż, 21go maja 1868 r.



Żywila

Grekowie i rzymskiej historiej pisarze dosyć nam ku zbudowaniu podali o cnotliwych a prawie męskiego serca białych głowach, więc i Litwie naszej na podobnych nie zeszło przykładach; gdyby jedno kto w dziejach ony wypatrzyć, a złotym piórem okryślić chciał: ale wżdy widząc, iż nikt o tym jako żywo nie myśli, wziąłem przed się ile ze mnie będzie, krótką historyjkę ze staroświeckich ksiąg wyjętą, po prostu wam przełożyć.

Około lata Pańskiego 1400 panowało w Nowogródku, Słonimie i Lidzie możne i potężne książę na imię Koriat, u tego zasię była córka jedynaczka, arcy-nadobna niewiasta; zwano ją Żywila, to jest Diana: gdyż i gładkością prawie cudną boginiej tej równała się, i myślano pospolicie, iż ku małżeńskim ślubom znaczne wstręty miała; bo gdy książęta a pany możne z dalekich stron przysyłali posły, upraszając ją sobie ku małżeństwu, wszystkim stale wzbraniała się: stąd wieść szła, iż w panieńskim stanie do końca żywota być chce. Ano wcale inaksze były tych uporów przyczyny. Księżniczka Żywila od czasu niejakiego rozmiłowała się skrycie Litwina Poraja, męża z rycerskim sercem, który przez swe wyśmienite przewagi wojenne mocno był księciu Koriatowi spodobany; i w niebycie jego rząd nad wszem państwem sprawował, skąd nietrudno mu było z lubownicą swoją tajemne schadzki miewać, gdzie by miłości swoje wynurzali i wzajemnie się pocieszali.





Stało się, iż krótko potem wrócił z wojny książę Koriat i zasmucił się niepomału, wielką w kochanej córce swoiej upatrując przemianę. One łzy, one wzdychania, one bladości, one lękania się i drżenia ustawiczne przed ojcem, dały mu wszystko, jako było, wyrozumieć. „Córko odrodna — zawołał — wiodła cię rozpusta a wszeteczność, iż zhańbiłaś na wieki dom ojcowski, idź precz sprzed oblicza mego; i ty, i kto cię na tę niecnotę zaprawił, śmiercią okrutną pomrzecie”. Jakoż wytrąbiono z urzędu po mieście, iż kto by wymienił gamrata księżniczki Żywili, abo o nim lice jakowe powziął, bogato udarowan odejdzie. Alić trąbienie na świat poszło, gdyż nikt nie był, co by o skrytych miłościach onych coś wiedział, abo wiedząc, Koriatowi doniósł. Księżniczka Żywila była w szczególnym zamiłowaniu u sług i poddanych swoich, a na rycerza Poraja, który pokutnie nieszczęścia swego płakał, a na dworze w wesołą twarz ubrać się umiał, żadne jako żywo nie przyszło podejrzenie.





Widząc tedy Koriat, iż wszystkie jego posłuchy i śledzenia nie skutkują, a w jedno nic się obracają, mocno na córkę swoją nastawal, wielkie grozy czyniąc; ale ona statecznie w cierpliwości stała. „Ojcze mój — pry — znam, iżem winna znacznej winy, karaj mnie, otoć jestem, znam, iżem niegodna znaleźć u ciebie miłosierdzie; przedsię drugiej duszy niewinnej gubić z sobą nie mogę, abych ciężej jeszcze Bogów nie obraziła”. Książe zatem spuścił nieco z onych pierwszych srogości, jął się pochlebstwa, i złość w mowie jedwabnej przykrywając, obiecowal jej dobrym słowem, iż grzech przepuści, aby jedno wszetecznika, co by zacz był, mógł wiedzieć.





Żywila milczała, łzami i szlochaniem odpowiadając. Książę tedy zagniewawszy się gniewem wielkim, kazał jedyną córę swoją w łańcuchy wsadzić i do lochu pod straż wrzucić, skąd miała być niedługo wywiedziona do tracenia.





I maż kto style, aby podołał opisać lamenty i ciężkie smętki a płacze, które stąd po wszem mieście powstały; bo księżniczkę Żywilę naród w przedniej, jakoby bóstwo jakie, miał uczciwości, i jakoby matkę kochaną miłował, iż rada ubogie ludzie wspierała, a srogi przeciwko poddanym umysł książęcy łagodziła.





Szedł tedy lud w gromadach wielkich na dworzec pański, gorzko płacząc a żebrząc miłości ze strony ubogiej księżniczki. Przedsię nic uprosić nie możno.

Onego czasu także na pograniczu trwały wojny między ruskimi kniaziami a Litwą. Iwan, uzbierawszy siła wojsk wszelakich, miasta ubiegał, ogniem i mieczem następował; tak iż nim się o tym wieść rozbiegła, mnogość ludu a krwie uczciwej psował, zasię szybko nadciągnąwszy, niedaleko miasta obozy rozłożył.





Działo się tu dniem przed świętami Peruna; nazajutrz miano tracić księżniczkę Żywilę.

Poraj od Koriata z garstką przebranego rycerstwa słany był, ażeby wstręty jakowe nieprzyjacielowi czynić, zaczem by obrony przyzwoito u murów nastawiono. Ten, chociaż z daleko ogromniejszym a srogim sobie napastnikiem sprawę miał, przedsię serca nie tracąc, na ludzie jego bez sprawy lada jako ciągnące z takę mocą a gwałtem wielkim padł, iż je na głowę poraziwszy do kosza wegnał, i przyszłaby dnia owego zguba ostateczna na Rusiny, gdyby noc potrzebie końca nie dała.





Poraj, nic nie mieszkając, nieprzyjacioły wojski swymi obsaczył, sam do miasta z radosną nowiną bieżał. Odprawowano w mieście wesele wielkie. Koriat naprzeciw Poraja z niemałym pocztem wyjechał, cześć mu wszelaką wyrządzając i obrońcą swoim zowąc, więc i do zamku społem na ucztę z sobą zaprosił, a gdy się sami jedni znaleźli, Poraj jako stał, upadł do nóg książęcia, szerokimi słowy wierność a stateczność swoją wywodząc: „Atoć książę i panie mój, poraziłem nieprzyjacioły twoje porażką znaczną, i dadzą li Bogowie do małego szczętu wygubić ich, w tym zasię to za nagrodę sowitą mieć chcę, abyś córki twej jedynej nie tracił, a mnie ją z łaski swej w małżeństwo oddał; za którą łaskę twoją, krwią i majętnością, ile ze mnie jest, odsługować nie chybię”. Książe wmiast dobroci niechęć pokazował, i takimi słowy rzekł: „Poraju, napełniłeś mnie weselem i smętkiem; raduję się słysząc o tak zacnych posługach twoich, a zasię przecz wymagasz, co jest nad moc moją? Owe święte a wielkie przodki nasze, książęta litewskie, wiesz jako córek swoich poddanym za mąż nie dawali, a źle z tym jest, kto krwie swej niedbały, na lekkość ją puszcza; więc i z tym, kto się powodzeniem w pychę wbija a zbytnie wyżej, niż nań przystało, sięga. Lepak i to imo się puszczając, córka moja wyrodna domu książęcego godność iście splamiła… Wierzyć nie chcę, abyś jej do takowej sromoty przywódcą był. Wżdy skąd by się tak nagła ku tej wszetecznicy miłość twoja wzięła? Nie rozumiem. Zaś i z tych gołych podejrzeń oczyścić się musisz; na ten czas obaczę, co z tym mam czynić.

Po rozhoworze takowym rozeszli się obadwa na pozór łaskawie, obadwa gniewy wewnątrz złamali i pokryli. Poraj niewdzięcznością pańską do żywego poruszony, a prawie gromem rażony, przeczuł, iż zło nad nim wisi, zemstę przeto głęboko w sercu zasadzoną warzył. Książe też rozumiał o Poraju, iż krom wątpliwości, przez ów z księżniczką nierząd i przez rycerskie szczęście, stolicę pana swego chce posiąść. Dlatego przemyślał, jakoby mu żywot wzięty być mógł, teraz uczynić tego nie śmiejąc, snać by się rozruch nie stał pomiędzy ludem, który Poraja po mieście obrońcą wykrzykiwał; zaczem ku wytłuczeniu do reszty nieprzyjaciół prawica Poraja jeszcze potrzebną była.





Działo się to w noc przed świątkami Peruna; nazajutrz miała być tracona księżniczka Żywila.

